province,hhi_prov_2008
Groningen,0.21
Friesland,0.20
Drente,0.24
Overijssel,0.27
Flevoland,0.20
Gelderland,0.29
Utrecht,0.23
Noord-Holland,0.29
Zuid-Holland,0.21
Zeeland,0.22
Noord-Brabant,0.69
Limburg,0.84
