,gemnr,volgnr,gemnaam,provnr,bjaar,ejaar,adam_code,adam_naam,adam_begin,adam_eind,cbs66,cbs,nidi,wag_code,regio,egg,corop,euclidmidx,euclidmidy,opmerking,cbs66HED,gemnaam_unique,gemnaam_Genlias,adam_sd,adam_sm,adam_sy,adam_ed,adam_em,adam_ey,studsec_1909,train_1909,popul_1909,minecorop,protestant_dummy,Christelijk.Ge_1909,Doopsgezinden_1909,Evangelisch.Lu_1909,Hersteld.Evang,Kerkelijke.gez,NederlandsHer,Nederlands.Isr,Oud.Katholieke,Overige.kerkel,Remonstranten,RoomsKatholie,Waals.Hervormd,Portugees.Isra,Gereformeerde,Geen.kerkelijk,Prot_both,Prot_all,nons,sumrel,sumall,norel,hhi,comp,inchurch,pr1,pr2,pr3,pr4,pr5,pr6,pr7,pr8,pr9,pr10,pr11,pr12,pr13,pr14,pr15,hhi_2
1361,1437,1,Wittem,11,1812,1942,11371,Wittem,oudsher,01.01.1999,990,990,11136,11020,Roermd-Zuid-Limburg,127,39,19344,31230, ,990,Wittem,Wittem,NA,NA,0,1,1,1998,0,1,3950,Zuid-Limburg,no,0,0,0,0,0,0,0,0,0,0,3949,0,0,0,1,0,0,1,3949,3950,0.025316456,1,0,0.999746835,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000253229,1
1362,1438,1,Breust,11,1812,1828,10726,Breust,oudsher,6-3-1828,NA,NA,0,NA,Zuid-Limburg,NA,NA,0,0,TOT 1828 OP HETZELFDE GRONDGEBIED ALS EIJSDEN (J.H.M.M. VAN HALL IN DE MAASGOUW 103 (1984),966,Breust,Breust,NA,NA,0,6,3,1828,NA,NA,826,Zuid-Limburg,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1363,1440,1,Heer en Keer,11,1812,1828,11407,Heer en Keer,oudsher,5-8-1828,NA,NA,0,NA,Zuid-Limburg,NA,NA,17908,31666, ,9991,Heer en Keer,Heer en Keer,NA,NA,0,5,8,1828,NA,NA,NA,Zuid-Limburg,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1364,1441,1,Oost,11,1812,1828,11442,Oost,oudsher,6-3-1828,NA,NA,0,NA,Zuid-Limburg,NA,NA,0,0, ,905,Oost,Oost,NA,NA,0,6,3,1828,NA,NA,2710,Zuid-Limburg,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1365,2116,1,Echt-Susteren,11,-1,-1,10941,Echt-Susteren,01.01.2003,heden,1711,NA,NA,NA, ,NA,NA,NA,NA, ,1711,Echt-Susteren,Echt-Susteren,1,1,2003,NA,NA,2007,NA,1,NA,Zuid-Limburg,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1366,2121,1,Gulpen-Wittem,11,-1,-1,11032,Gulpen-Wittem,01.01.1999,heden,1729,NA,NA,NA, ,NA,NA,NA,NA, ,1729,Gulpen-Wittem,Gulpen-Wittem,1,1,1999,NA,NA,2007,NA,1,NA,Zuid-Limburg,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1367,2153,1,Sittard-Geleen,11,-1,-1,11230,Sittard-Geleen,01.01.2001,heden,1883,NA,NA,NA, ,NA,NA,NA,NA, ,1883,Sittard-Geleen,Sittard-Geleen,1,1,2001,NA,NA,2007,NA,1,NA,Zuid-Limburg,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1368,1704,1,Borger,3,1812,1942,10448,Borger,oudsher,01.01.1998,108,108,3004,3024,Assen,16,7,25350,54953, ,108,Borger,Borger,NA,NA,0,1,1,1997,24,0,8705,Zuidoost-Drenthe,yes,19,60,184,0,0,6399,56,1,87,3,312,0,1,1193,390,7592,7858,390,8315,8705,4.480183802,0.614937845,0.385062155,0.955198162,0.002285027,0.007215875,0.022128683,0,0,0.769573061,0.006734817,0.000120265,0.010463019,0.000360794,0.03752255,0,0.000120265,0.143475646,0.046903187,0.614938
1369,1705,1,Coevorden,3,1812,1942,10383,Coevorden,oudsher,heden,109,109,3005,3009,Emmen,18,8,24619,51896, ,109,Coevorden,Coevorden,NA,NA,0,NA,NA,2007,62,1,5067,Zuidoost-Drenthe,yes,29,11,7,4,0,3026,237,0,2,7,998,0,8,637,101,3663,3721,101,4966,5067,1.993289915,0.430462303,0.569537697,0.980067101,0.00583971,0.002215062,0.001409585,0.000805477,0,0.609343536,0.047724527,0,0.000402739,0.001409585,0.200966573,0,0.001610954,0.128272251,0.0203383,0.430465
1370,1706,1,Dalen,3,1812,1942,11004,Dalen,oudsher,01.01.1998,110,110,3006,3008,Emmen,17,8,25281,52299, ,110,Dalen,Dalen,NA,NA,0,1,1,1997,35,1,3192,Zuidoost-Drenthe,yes,0,0,0,0,0,2692,28,0,0,0,356,0,0,116,0,2808,2808,0,3192,3192,0,0.725089667,0.274910333,1,0,0,0,0,0,0.843358396,0.00877193,0,0,0,0.111528822,0,0,0.036340852,0,0.72509
1371,1707,1,Diever,3,1812,1942,10418,Diever,oudsher,01.01.1998,111,111,3007,3020,Meppel,17,9,21630,54256, ,111,Diever,Diever,NA,NA,0,1,1,1997,15.5,0,2254,Zuidoost-Drenthe,yes,0,3,0,0,0,1689,0,2,0,1,92,0,0,436,31,2125,2129,31,2223,2254,1.375332742,0.617454943,0.382545057,0.986246673,0,0.001349528,0,0,0,0.759784076,0,0.000899685,0,0.000449843,0.041385515,0,0,0.196131354,0.013945119,0.617455
1372,1708,1,Dwingeloo,3,1812,1942,10331,Dwingeloo,oudsher,01.01.1998,112,112,3008,3018,Meppel,17,9,22226,53933, ,112,Dwingeloo,Dwingeloo,NA,NA,0,1,1,1997,14,0,2447,Zuidoost-Drenthe,yes,19,1,0,0,0,2051,19,0,0,2,0,0,0,337,18,2388,2410,18,2429,2447,0.735594606,0.732350335,0.267649665,0.992644054,0.007822149,0.000411692,0,0,0,0.844380403,0.007822149,0,0,0.000823384,0,0,0,0.138740222,0.007410457,0.73235
1373,1710,1,Emmen,3,1812,1942,11180,Emmen,oudsher,heden,114,114,3010,3011,Emmen,15,8,26116,53226, ,114,Emmen,Emmen,NA,NA,0,NA,NA,2007,93,1,27665,Zuidoost-Drenthe,yes,799,87,19,0,0,17173,157,0,304,15,4759,2,0,3516,834,20689,21609,834,26831,27665,3.014639436,0.459348124,0.540651876,0.969853606,0.029778987,0.003242518,0.000708136,0,0,0.640043234,0.00585144,0,0.011330178,0.000559055,0.177369461,7.45E-05,0,0.131042451,0.031083448,0.459348
